state, ot, op, egt, rpm, thr
PASS,95,51,118,0,0
,,,,,
HEAT,95,51,118,0,0
HEAT,95,51,118,0,0
HEAT,94,51,118,0,0
HEAT,95,51,117,0,0
HEAT,95,51,118,0,0
HEAT,95,50,117,0,0
HEAT,95,50,118,312,0
HEAT,95,48,117,936,0
HEAT,95,51,118,1560,0
HEAT,96,51,119,1560,0
HEAT,95,52,118,2184,0
HEAT,95,52,119,2184,0
HEAT,95,50,118,1560,0
HEAT,95,52,117,2184,0
HEAT,95,52,117,1560,0
HEAT,95,51,118,2184,0
HEAT,95,52,117,1560,0
HEAT,95,51,117,2184,0
HEAT,95,51,117,1560,0
HEAT,96,51,117,2184,0
HEAT,95,51,117,2184,0
HEAT,95,52,118,2184,0
HEAT,95,51,119,1560,0
HEAT,95,51,119,1560,0
HEAT,95,51,122,2184,0
HEAT,95,52,124,2184,0
HEAT,95,51,126,2184,0
HEAT,95,51,130,2184,0
HEAT,95,51,134,2184,0
HEAT,95,52,138,1560,0
HEAT,95,51,143,2184,0
HEAT,95,52,149,2184,0
HEAT,95,52,154,1560,0
HEAT,95,51,161,2184,0
HEAT,95,51,167,2184,0
HEAT,96,51,174,2184,0
HEAT,96,51,181,1560,0
HEAT,95,51,189,1560,0
HEAT,95,51,197,1560,0
HEAT,96,50,205,1560,0
HEAT,96,51,213,2184,0
HEAT,95,51,222,2184,0
HEAT,96,51,231,2184,0
HEAT,96,51,240,1560,0
HEAT,95,51,250,2184,0
HEAT,96,51,258,2184,0
HEAT,95,51,268,1560,0
HEAT,95,51,277,1560,0
HEAT,96,51,286,2184,0
HEAT,96,51,296,2184,0
HEAT,96,51,305,2184,0
HEAT,96,51,314,2184,0
HEAT,96,51,323,2184,0
HEAT,96,50,332,2184,0
HEAT,96,51,341,2184,0
HEAT,96,51,349,1560,0
HEAT,96,50,360,1560,0
HEAT,97,51,367,2184,0
HEAT,96,51,377,1560,0
HEAT,97,51,386,1560,0
HEAT,96,51,395,2184,0
HEAT,96,51,404,2184,0
HEAT,95,51,412,2184,0
HEAT,95,51,421,2184,0
HEAT,97,51,430,2184,0
HEAT,97,51,438,2184,0
HEAT,97,51,446,1560,0
HEAT,96,51,455,1560,0
HEAT,96,51,464,2184,0
HEAT,97,51,472,1560,0
HEAT,97,50,480,1560,0
HEAT,97,51,489,2184,0
HEAT,96,49,496,2184,0
HEAT,97,51,505,1560,0
HEAT,96,51,513,1560,0
HEAT,97,52,521,2184,0
HEAT,97,51,529,1560,0
HEAT,97,51,537,1560,0
HEAT,97,51,544,2184,0
HEAT,97,51,553,2184,0
HEAT,97,52,561,2184,0
HEAT,96,52,568,1560,0
HEAT,97,52,576,2184,0
HEAT,97,52,583,1560,0
HEAT,97,51,591,1560,0
HEAT,96,52,598,2184,0
HEAT,96,52,606,2184,0
HEAT,97,52,613,2184,0
HEAT,96,51,619,2184,0
HEAT,97,52,627,2184,0
HEAT,96,51,634,2184,0
HEAT,96,52,641,1560,0
HEAT,98,51,647,1560,0
HEAT,97,52,656,2184,0
HEAT,96,52,662,1560,0
HEAT,97,51,669,1560,0
HEAT,98,51,674,1560,0
HEAT,97,51,682,2184,0
HEAT,98,51,689,2184,0
HEAT,97,51,696,2184,0
HEAT,98,51,701,2184,0
HEAT,97,51,707,2184,0
HEAT,97,50,714,2184,0
HEAT,97,51,720,1560,0
HEAT,97,50,726,1560,0
HEAT,98,51,733,2184,0
HEAT,98,51,738,2184,0
HEAT,98,51,744,1560,0
HEAT,98,51,751,1560,0
HEAT,98,51,757,2184,0
HEAT,98,51,763,2184,0
HEAT,97,50,769,2184,0
HEAT,98,51,774,1560,0
HEAT,98,50,780,2184,0
HEAT,97,51,784,2184,0
HEAT,97,50,791,2184,0
HEAT,98,51,797,2184,0
HEAT,98,50,801,2184,0
HEAT,99,50,807,2184,0
HEAT,98,50,813,2184,0
HEAT,97,51,817,2184,0
HEAT,99,51,824,2184,0
HEAT,98,50,828,1560,0
HEAT,98,51,833,1560,0
HEAT,99,51,839,2184,0
HEAT,98,51,844,2184,0
HEAT,98,51,848,1560,0
HEAT,98,51,853,1560,0
HEAT,98,50,858,2184,0
HEAT,98,50,863,2184,0
HEAT,97,51,868,2184,0
HEAT,97,51,872,1560,0
HEAT,97,50,877,2184,0
HEAT,99,50,881,2184,0
HEAT,98,51,887,2184,0
HEAT,99,51,891,2184,0
HEAT,99,51,895,1560,0
HEAT,99,51,900,2184,0
HEAT,99,50,904,2184,0
HEAT,98,51,908,2184,0
HEAT,98,50,913,2184,0
HEAT,99,50,916,2184,0
HEAT,99,49,920,2184,0
HEAT,99,51,924,1560,0
HEAT,99,50,929,1560,0
HEAT,99,51,933,1560,0
HEAT,99,51,937,2184,0
HEAT,98,51,941,2184,0
HEAT,99,50,945,2184,0
HEAT,99,50,949,2184,0
HEAT,99,51,953,2184,0
HEAT,98,50,956,2184,0
HEAT,99,51,959,2184,0
HEAT,98,51,963,2184,0
HEAT,99,51,968,2184,0
HEAT,99,50,971,1560,0
HEAT,99,51,974,1560,0
HEAT,99,51,978,1560,0
HEAT,99,51,982,1560,0
HEAT,99,51,985,1560,0
HEAT,99,51,987,1560,0
HEAT,99,51,992,2184,0
HEAT,98,51,994,2184,0
HEAT,99,50,997,2184,0
HEAT,100,51,1001,2184,0
HEAT,99,49,1005,2184,0
HEAT,99,51,1008,2184,0
HEAT,99,51,1011,2184,0
HEAT,100,51,1015,1560,0
HEAT,100,51,1017,1560,0
HEAT,99,51,1020,1560,0
HEAT,99,51,1023,1560,0
HEAT,99,50,1026,1560,0
HEAT,99,50,1029,1560,0
HEAT,99,50,1033,1560,0
HEAT,100,51,1035,1560,0
HEAT,99,50,1038,1560,0
HEAT,98,49,1041,1560,0
HEAT,100,51,1043,1560,0
HEAT,99,49,1045,1560,0
HEAT,100,51,1050,2184,0
HEAT,100,51,1053,2184,0
HEAT,99,51,1055,1560,0
HEAT,100,51,1058,1560,0
HEAT,100,50,1060,1560,0
HEAT,99,50,1063,1560,0
HEAT,100,49,1065,2184,0
HEAT,99,50,1067,2184,0
HEAT,100,50,1071,1560,0
HEAT,100,50,1073,1560,0
HEAT,100,50,1076,1560,0
HEAT,100,50,1078,1560,0
HEAT,100,50,1081,2184,0
HEAT,100,50,1083,2184,0
HEAT,100,51,1085,1560,0
HEAT,100,52,1088,1560,0
HEAT,99,50,1090,1560,0
HEAT,100,50,1092,1560,0
HEAT,100,50,1094,1560,0
HEAT,100,51,1096,1560,0
HEAT,100,50,1099,1560,0
HEAT,100,51,1101,2184,0
HEAT,100,51,1103,2184,0
HEAT,100,50,1106,2184,0
HEAT,100,51,1107,2184,0
HEAT,100,49,1110,2184,0
HEAT,100,50,1112,2184,0
HEAT,101,50,1113,2184,0
START,100,50,1116,2184,0
START,100,44,1118,5304,0
START,99,47,1121,7488,0
START,100,50,1123,9984,0
START,100,50,1127,11232,0
START,100,51,1130,12480,0
START,100,50,1138,13104,0
START,100,50,1147,13728,0
START,101,49,1157,14976,0
START,100,50,1169,15288,0
START,101,48,1181,17160,0
START,101,48,1195,19032,0
START,101,48,1208,19968,0
START,101,49,1224,21840,0
START,101,51,1239,22464,0
START,101,51,1256,23400,0
START,101,51,1273,23400,0
START,101,50,1291,24024,0
START,101,51,1309,24336,0
START,100,50,1329,26208,0
START,101,50,1348,27144,0
START,100,49,1368,29328,0
RUN,101,49,1387,31200,0
RUN,101,50,1405,31824,0
RUN,101,49,1424,33384,0
RUN,101,48,1439,34008,0
RUN,101,48,1452,34944,0
RUN,101,48,1461,33696,0
RUN,100,49,1467,33384,0
RUN,100,48,1469,32136,0
RUN,100,48,1468,32136,0
RUN,100,48,1464,31824,0
RUN,100,48,1457,30888,0
RUN,101,49,1451,30888,0
RUN,100,48,1441,30576,0
RUN,101,48,1431,30576,0
RUN,101,49,1420,30264,0
RUN,101,50,1409,29952,0
RUN,100,49,1396,29328,0
RUN,100,48,1384,28704,0
RUN,100,47,1372,28704,0
RUN,100,48,1359,29328,0
RUN,100,49,1347,28704,0
RUN,101,48,1335,28392,0
RUN,101,49,1324,28392,0
RUN,101,48,1313,29328,0
RUN,101,48,1302,29016,0
RUN,101,49,1292,29016,0
RUN,101,49,1282,28704,0
RUN,100,49,1273,29328,0
RUN,101,49,1264,29640,0
RUN,101,48,1256,29640,0
RUN,101,48,1248,29952,0
RUN,100,48,1240,29640,0
RUN,101,49,1233,29640,0
RUN,100,49,1228,29640,0
RUN,101,49,1221,30576,0
RUN,100,49,1215,30264,0
RUN,101,49,1210,31200,0
RUN,100,49,1204,31200,0
RUN,101,49,1199,31512,0
RUN,101,49,1193,31512,0
RUN,101,49,1189,31200,0
RUN,101,49,1184,31200,0
RUN,100,49,1179,30888,0
RUN,101,48,1173,30888,0
RUN,101,49,1168,30888,0
RUN,101,49,1164,30576,0
RUN,101,48,1159,31200,0
RUN,101,48,1153,31200,0
RUN,101,48,1149,30576,0
RUN,100,49,1143,30888,0
RUN,102,49,1139,30888,0
RUN,102,49,1134,29952,0
RUN,102,48,1129,29640,0
RUN,102,48,1125,29952,0
RUN,102,48,1120,29952,0
RUN,102,48,1116,30264,0
RUN,102,48,1112,29952,0
RUN,102,48,1107,29952,0
RUN,102,49,1104,29952,0
RUN,102,49,1100,30264,0
RUN,102,49,1097,29952,0
RUN,102,49,1094,30264,0
RUN,102,48,1091,30264,0
RUN,102,48,1090,30264,0
RUN,102,48,1087,30576,0
RUN,103,48,1085,30264,0
RUN,103,48,1084,30888,0
RUN,103,49,1082,30576,0
RUN,101,48,1081,30576,0
RUN,103,48,1079,30888,0
RUN,103,49,1076,29952,0
