state, ot, op, egt, rpm, thr
PASS,111,50,83,936,0
,,,,,
HEAT,111,50,83,0,0
HEAT,111,50,81,0,0
HEAT,111,50,83,0,0
HEAT,110,50,82,0,0
HEAT,110,50,83,1560,0
HEAT,110,50,82,0,0
HEAT,111,48,82,0,0
HEAT,110,50,83,1560,0
HEAT,111,51,82,2184,0
HEAT,111,52,83,2184,0
HEAT,111,51,83,1560,0
HEAT,111,51,82,2184,0
HEAT,110,50,83,2184,0
HEAT,110,51,83,1560,0
HEAT,111,50,83,2184,0
HEAT,111,51,83,1560,0
HEAT,110,51,82,2184,0
HEAT,111,51,83,1560,0
HEAT,110,51,83,2184,0
HEAT,110,51,83,2184,0
HEAT,111,50,82,1560,0
HEAT,110,51,83,2184,0
HEAT,111,51,85,2184,0
HEAT,111,51,86,2184,0
HEAT,111,51,88,2184,0
HEAT,110,51,91,2184,0
HEAT,111,51,94,2184,0
HEAT,110,50,99,2184,0
HEAT,111,52,102,2184,0
HEAT,110,51,108,2184,0
HEAT,111,51,114,2184,0
HEAT,110,52,119,2184,0
HEAT,110,51,127,2184,0
HEAT,110,51,135,2184,0
HEAT,111,51,142,1560,0
HEAT,110,51,150,2184,0
HEAT,110,52,158,2184,0
HEAT,111,51,168,2184,0
HEAT,111,51,176,2184,0
HEAT,111,50,185,2184,0
HEAT,110,51,196,2184,0
HEAT,111,52,206,2184,0
HEAT,110,50,216,1560,0
HEAT,111,51,225,2184,0
HEAT,110,50,236,2184,0
HEAT,110,50,246,1560,0
HEAT,111,51,257,2184,0
HEAT,110,50,268,2184,0
HEAT,110,51,278,2184,0
HEAT,111,51,288,2808,0
HEAT,110,51,298,2808,0
HEAT,111,51,308,2184,0
HEAT,111,51,320,2184,0
HEAT,111,50,330,2184,0
HEAT,111,51,339,2184,0
HEAT,110,50,349,2184,0
HEAT,111,51,359,2184,0
HEAT,111,50,369,2184,0
HEAT,110,51,379,2184,0
HEAT,110,50,388,2184,0
HEAT,110,51,398,2184,0
HEAT,110,49,408,2184,0
HEAT,111,51,417,2184,0
HEAT,111,52,427,2184,0
HEAT,110,51,436,2184,0
HEAT,110,51,445,2184,0
HEAT,111,51,453,2184,0
HEAT,110,51,463,2184,0
HEAT,111,51,472,2184,0
HEAT,110,51,480,2184,0
HEAT,111,51,489,2184,0
HEAT,110,50,498,2184,0
HEAT,110,50,506,2184,0
HEAT,111,51,514,2184,0
HEAT,111,50,522,2184,0
HEAT,111,51,531,2184,0
HEAT,110,50,540,2184,0
HEAT,111,51,548,2184,0
HEAT,111,51,557,2184,0
HEAT,110,51,564,2184,0
HEAT,111,49,572,2184,0
HEAT,111,51,580,2184,0
HEAT,111,51,588,2184,0
HEAT,111,51,595,2184,0
HEAT,111,50,603,2184,0
HEAT,110,51,612,2184,0
HEAT,110,51,619,2184,0
HEAT,110,51,627,2184,0
HEAT,111,51,635,2184,0
HEAT,111,51,642,2184,0
HEAT,111,51,649,2184,0
HEAT,111,51,657,2184,0
HEAT,110,50,663,2184,0
HEAT,111,50,671,2184,0
HEAT,111,50,679,2184,0
HEAT,110,50,687,2184,0
HEAT,111,50,693,2184,0
HEAT,111,51,700,2184,0
HEAT,110,50,707,2184,0
HEAT,111,52,714,2184,0
HEAT,111,51,721,2184,0
HEAT,112,50,727,2184,0
HEAT,111,51,734,2184,0
HEAT,110,50,741,2184,0
HEAT,110,51,747,2184,0
HEAT,111,50,754,2184,0
START,111,49,760,2808,0
START,112,50,767,5928,0
START,111,47,773,7800,0
START,111,48,779,10608,0
START,112,48,785,11856,0
START,111,50,792,12792,0
START,112,50,799,13416,0
START,111,48,807,14976,0
START,110,48,816,15600,0
START,111,48,827,16848,0
START,112,49,838,19032,0
START,112,47,850,20904,0
START,111,50,863,22776,0
START,111,51,879,23400,0
START,111,52,896,24336,0
START,112,51,917,24336,0
START,112,51,938,26208,0
START,111,50,963,27456,0
START,112,50,990,29640,0
RUN,112,51,1019,39000,0
RUN,112,51,1049,32760,0
RUN,112,50,1078,34632,0
RUN,111,49,1106,35880,0
RUN,112,50,1133,37440,0
RUN,112,49,1155,37128,0
RUN,112,49,1174,36816,0
RUN,112,49,1188,36192,0
RUN,112,49,1199,35880,0
RUN,111,49,1206,35568,0
RUN,111,48,1210,34944,0
RUN,112,48,1211,34008,0
RUN,111,49,1211,34008,0
RUN,112,48,1208,33696,0
RUN,112,49,1204,33072,0
RUN,111,49,1200,32760,0
RUN,112,48,1194,31824,0
RUN,113,49,1187,31824,0
RUN,112,49,1180,31512,0
RUN,112,49,1174,31512,0
RUN,112,49,1167,31200,0
RUN,112,48,1159,31200,0
RUN,112,49,1152,31512,0
RUN,112,49,1144,31200,0
RUN,112,48,1138,31512,0
RUN,112,48,1131,30576,0
RUN,113,49,1125,31200,0
RUN,112,49,1118,30264,0
RUN,112,48,1112,30264,0
RUN,112,47,1105,29952,0
RUN,113,49,1100,29952,0
RUN,112,48,1095,29952,18
RUN,112,48,1088,30576,63
RUN,113,49,1084,29640,108
Exit: RPM: 24960 <= 25000,COOL,113,49,1078,24648
COOL,113,49,1073,21528,0
COOL,112,49,1068,19032,0
COOL,112,49,1060,17160,0
COOL,113,49,1054,15912,0
COOL,112,49,1046,14352,0
COOL,113,49,1039,12480,0
COOL,113,49,1031,11856,0
COOL,113,50,1022,10608,0
COOL,113,49,1014,10296,0
COOL,113,50,1005,9048,0
COOL,113,50,997,8112,0
COOL,113,50,990,7488,0
COOL,114,50,981,6240,0
COOL,114,51,973,6240,0
COOL,114,50,965,5928,0
COOL,114,51,957,5928,0
COOL,114,51,949,4680,0
COOL,114,51,942,4680,0
COOL,114,51,935,4056,0
COOL,115,51,929,4056,0
COOL,114,51,922,3432,0
COOL,115,51,915,3432,0
COOL,116,51,909,2808,0
COOL,117,51,902,2184,0
COOL,117,51,896,2184,0
COOL,117,52,890,1560,0
COOL,116,52,884,1560,0
COOL,117,52,879,1560,0
COOL,117,52,873,936,0
COOL,117,52,868,936,0
COOL,117,52,864,312,0
COOL,118,51,859,936,0
COOL,117,51,854,312,0
COOL,118,52,851,936,0
COOL,118,51,845,1560,0
COOL,118,51,842,2184,0
COOL,119,52,837,2184,0
COOL,118,52,834,2184,0
COOL,118,51,830,2808,0
COOL,119,51,826,2808,0
COOL,120,52,822,2184,0
COOL,118,51,819,2184,0
COOL,119,52,815,2184,0
COOL,120,52,812,2808,0
COOL,119,52,807,2184,0
COOL,120,52,804,2184,0
COOL,121,52,801,2808,0
COOL,120,52,796,2184,0
COOL,119,52,794,2184,0
COOL,120,52,789,2808,0
COOL,119,52,787,2808,0
COOL,121,52,782,2184,0
COOL,120,52,779,2808,0
COOL,120,52,776,2184,0
COOL,120,52,772,2184,0
COOL,119,52,770,2808,0
COOL,120,51,766,2184,0
COOL,120,51,762,2808,0
COOL,120,51,759,2184,0
COOL,121,52,756,2808,0
COOL,121,51,753,2808,0
COOL,119,52,749,2184,0
COOL,120,51,746,2808,0
COOL,121,51,742,2184,0
COOL,121,51,740,2808,0
COOL,121,51,737,2184,0
COOL,119,52,734,2184,0
COOL,119,52,730,2184,0
