state, ot, op, egt, rpm, thr
PASS,131,52,203,0,0
,,,,,
HEAT,131,52,203,0,0
HEAT,131,52,203,0,0
HEAT,132,51,203,0,0
HEAT,132,52,203,0,0
HEAT,132,52,203,0,0
HEAT,132,51,203,0,0
HEAT,132,47,203,0,0
HEAT,132,52,203,1560,0
HEAT,132,52,203,1560,0
HEAT,132,52,203,2184,0
HEAT,131,52,203,2184,0
HEAT,132,52,203,2184,0
HEAT,132,51,203,2184,0
HEAT,132,51,203,2184,0
HEAT,131,52,202,2184,0
HEAT,132,52,202,2184,0
HEAT,131,52,203,2184,0
HEAT,132,52,202,2184,0
HEAT,132,52,202,2184,0
HEAT,132,52,202,2184,0
HEAT,132,52,202,2184,0
HEAT,131,51,202,2184,0
HEAT,132,51,202,2184,0
HEAT,132,51,203,2184,0
HEAT,132,51,203,2184,0
HEAT,132,52,205,2184,0
HEAT,132,52,207,2184,0
HEAT,132,52,209,2184,0
HEAT,131,51,212,2184,0
HEAT,132,51,214,2808,0
HEAT,132,51,217,2184,0
HEAT,132,52,221,2184,0
HEAT,132,52,225,2184,0
HEAT,132,51,230,2184,0
HEAT,132,51,234,2184,0
HEAT,131,52,239,2184,0
HEAT,132,52,243,2184,0
HEAT,132,51,249,2184,0
HEAT,132,51,255,2184,0
HEAT,131,51,260,2184,0
HEAT,132,52,266,2184,0
HEAT,132,51,271,2184,0
HEAT,131,52,278,2184,0
HEAT,132,51,284,2184,0
HEAT,132,52,291,2184,0
HEAT,132,51,297,2184,0
HEAT,132,51,303,2184,0
HEAT,132,51,310,2184,0
HEAT,131,51,316,2808,0
HEAT,132,52,323,2184,0
HEAT,132,51,330,2184,0
HEAT,132,52,336,2184,0
HEAT,132,52,343,2184,0
HEAT,131,52,350,2184,0
HEAT,132,52,356,2184,0
HEAT,132,51,364,2184,0
HEAT,132,52,370,2184,0
HEAT,132,52,376,2184,0
HEAT,131,52,383,2184,0
HEAT,132,52,389,2184,0
HEAT,132,52,396,2184,0
HEAT,132,52,403,2184,0
HEAT,132,52,409,2808,0
HEAT,133,52,417,2184,0
HEAT,132,51,422,2184,0
HEAT,131,51,429,2184,0
HEAT,131,51,437,2184,0
HEAT,131,52,443,2184,0
HEAT,133,52,450,2184,0
HEAT,131,52,456,2184,0
HEAT,132,51,462,2184,0
HEAT,132,51,469,2184,0
HEAT,132,51,475,2808,0
HEAT,132,52,481,2184,0
HEAT,132,51,487,2184,0
HEAT,132,52,493,2184,0
HEAT,132,52,501,2184,0
HEAT,132,51,506,2184,0
HEAT,132,52,512,2808,0
HEAT,133,51,518,2184,0
HEAT,132,52,525,2184,0
HEAT,132,52,531,2808,0
HEAT,133,52,537,2184,0
HEAT,132,52,542,2184,0
HEAT,133,51,548,2808,0
HEAT,132,52,554,2184,0
HEAT,132,51,560,2184,0
HEAT,133,51,565,2184,0
HEAT,132,52,570,2184,0
HEAT,132,51,576,2184,0
HEAT,133,51,581,2184,0
HEAT,133,52,587,2184,0
HEAT,133,51,593,2184,0
HEAT,133,52,598,2184,0
HEAT,132,52,603,2808,0
HEAT,133,51,608,2184,0
HEAT,132,51,613,2184,0
HEAT,133,52,618,2184,0
HEAT,133,51,623,2808,0
HEAT,133,52,629,2184,0
HEAT,132,52,634,2184,0
HEAT,132,52,638,2808,0
HEAT,133,51,642,2184,0
HEAT,132,51,648,2184,0
HEAT,132,52,653,2184,0
HEAT,133,52,657,2808,0
HEAT,133,51,662,2184,0
HEAT,132,51,667,2184,0
HEAT,133,52,671,2184,0
HEAT,133,52,675,2808,0
HEAT,133,52,680,2184,0
HEAT,133,51,684,2184,0
HEAT,133,52,688,2184,0
HEAT,133,52,693,2808,0
HEAT,133,52,697,2184,0
HEAT,133,52,701,2184,0
HEAT,133,52,705,2184,0
HEAT,133,51,709,2184,0
HEAT,133,51,712,2808,0
HEAT,132,52,718,2184,0
HEAT,133,51,721,2184,0
HEAT,133,52,725,2184,0
HEAT,133,52,729,2808,0
HEAT,133,52,733,2808,0
HEAT,133,51,737,2184,0
HEAT,133,52,740,2184,0
HEAT,134,52,744,2184,0
HEAT,133,52,747,2808,0
HEAT,133,52,751,2184,0
START,133,43,755,3432,0
START,133,48,758,6552,0
START,133,52,762,8736,0
START,133,53,765,10608,0
START,133,52,770,11856,0
START,133,50,774,12792,0
START,133,52,779,14352,0
START,133,53,784,14976,0
START,133,52,792,15600,0
START,134,49,800,15600,0
START,133,47,809,16536,0
START,133,50,818,18720,0
START,134,50,828,21528,0
START,134,50,838,22776,0
START,133,52,849,23088,0
START,133,52,862,23088,0
START,133,52,875,24336,0
START,134,52,891,24960,0
START,133,51,906,25896,0
START,134,51,923,28080,0
START,134,51,940,29328,0
RUN,133,51,959,45552,0
RUN,134,51,976,32448,0
RUN,133,51,994,32760,0
RUN,133,51,1011,34008,0
RUN,133,51,1026,34944,0
RUN,134,51,1040,34944,0
RUN,134,50,1052,35568,0
RUN,133,50,1062,35256,0
RUN,133,50,1069,35256,0
RUN,134,50,1075,34632,0
RUN,134,49,1079,34632,0
RUN,134,50,1081,34944,0
RUN,133,50,1082,34944,0
RUN,133,50,1082,34008,0
RUN,134,50,1080,33696,0
RUN,133,49,1078,34008,0
RUN,134,48,1075,34320,0
RUN,134,49,1071,33696,0
RUN,134,49,1067,33384,0
RUN,132,49,1062,32760,0
RUN,134,50,1058,33384,0
RUN,134,49,1053,33696,0
RUN,134,49,1049,33072,0
RUN,134,49,1042,32448,0
RUN,135,49,1037,31824,0
RUN,134,49,1031,31824,0
RUN,134,50,1026,32136,0
RUN,133,49,1021,31824,0
RUN,134,50,1016,32136,0
RUN,134,50,1011,32136,0
RUN,134,49,1006,31512,0
RUN,134,49,1000,31824,0
RUN,135,49,995,31512,0
RUN,134,49,991,31200,0
RUN,134,50,986,30888,0
RUN,134,49,981,30888,0
RUN,135,49,978,31200,0
RUN,135,49,973,30576,0
RUN,135,50,970,30888,0
RUN,135,49,964,30264,0
RUN,135,50,962,30888,0
RUN,135,50,959,30264,0
RUN,134,49,954,30888,0
RUN,134,49,950,29952,0
RUN,135,49,949,29952,0
RUN,134,50,946,30264,0
RUN,135,49,942,30264,0
RUN,135,49,939,29328,0
RUN,134,50,938,29328,0
RUN,134,49,936,28704,0
RUN,134,49,933,28704,0
RUN,135,49,930,29016,0
RUN,135,49,929,28704,0
RUN,135,49,927,29328,0
RUN,135,49,925,29328,0
RUN,135,49,923,29328,0
RUN,135,50,922,29328,0
RUN,135,49,921,29016,0
RUN,135,49,921,29016,0
RUN,135,49,921,29952,0
RUN,135,49,920,29952,10
RUN,136,49,921,30264,16
RUN,135,49,921,30264,19
RUN,135,49,921,29952,21
RUN,135,49,921,30576,23
RUN,136,49,922,30264,25
RUN,135,49,923,31200,26
RUN,136,49,923,31200,28
RUN,136,49,924,31200,31
RUN,136,49,925,31200,32
RUN,135,49,926,32136,33
RUN,135,49,927,32760,36
RUN,136,49,928,33696,39
RUN,136,49,929,34008,40
RUN,135,50,932,34632,41
RUN,136,49,933,34632,42
RUN,136,49,934,35568,43
RUN,137,48,936,35880,45
RUN,137,49,939,36192,46
RUN,137,49,939,35568,47
RUN,137,48,942,36192,48
RUN,136,49,943,38064,50
RUN,136,49,944,37752,52
RUN,136,49,944,32760,53
RUN,137,48,945,32136,54
COOL,137,49,946,13728,54
COOL,138,48,946,27144,54
COOL,136,48,945,29328,54
COOL,137,49,944,25584,54
COOL,136,48,942,23400,54
COOL,137,49,939,20280,54
COOL,137,49,934,18720,54
COOL,138,48,930,17472,54
COOL,137,48,926,15600,54
COOL,137,48,919,14352,54
COOL,137,48,915,13104,54
COOL,138,48,908,12480,54
COOL,137,48,903,11232,54
COOL,138,48,897,9984,54
COOL,138,48,891,9360,54
COOL,138,49,886,8736,54
COOL,138,49,880,8736,54
COOL,138,49,873,7800,54
COOL,139,49,868,7800,54
COOL,138,48,862,7176,54
COOL,138,49,857,5928,54
COOL,139,49,851,5928,54
COOL,139,49,845,5304,54
COOL,139,49,840,5304,54
COOL,138,49,834,4680,54
COOL,140,49,829,4680,54
COOL,139,49,824,4056,54
COOL,139,49,820,4056,54
COOL,139,49,815,3432,54
COOL,139,49,810,3432,54
COOL,140,49,806,2808,54
COOL,139,49,802,2808,54
COOL,139,49,797,2184,54
COOL,140,49,793,2808,54
COOL,140,49,788,2184,54
COOL,139,49,785,2184,54
COOL,140,49,781,2184,54
COOL,139,49,778,2184,54
COOL,140,49,774,1560,54
COOL,140,49,771,936,54
COOL,139,49,767,936,54
COOL,140,49,764,1560,54
COOL,140,49,761,936,54
COOL,140,49,757,936,54
COOL,140,49,755,936,54
COOL,141,49,751,312,54
COOL,140,49,749,936,54
COOL,140,49,747,312,54
COOL,140,50,743,312,54
COOL,140,49,741,312,54
COOL,141,50,739,312,54
COOL,140,50,736,0,54
COOL,140,49,734,312,54
COOL,141,50,732,312,54
COOL,140,49,729,312,54
COOL,140,50,728,0,54
COOL,141,50,725,0,54
COOL,141,50,723,0,54
COOL,140,50,721,0,54
COOL,140,50,720,312,54
COOL,141,49,719,0,54
COOL,141,50,716,0,54
COOL,140,50,716,0,54
COOL,140,50,714,0,54
COOL,141,50,712,0,54
COOL,141,50,711,0,54
COOL,141,50,710,0,54
COOL,140,50,708,0,54
COOL,140,50,707,0,54
COOL,141,49,705,0,54
COOL,141,50,704,0,54
COOL,140,50,702,0,54
COOL,141,50,700,0,54
COOL,141,50,701,0,54
COOL,141,50,698,0,54
COOL,141,50,697,0,54
COOL,141,50,696,0,54
COOL,141,50,696,0,54
COOL,142,50,694,0,54
COOL,140,50,693,0,54
COOL,141,50,693,0,54
COOL,141,50,691,0,54
COOL,141,50,690,0,54
COOL,141,50,689,0,54
COOL,141,50,688,0,54
COOL,142,50,688,0,54
COOL,142,50,686,0,54
COOL,141,50,685,0,54
COOL,141,50,684,0,54
COOL,142,50,683,0,54
COOL,141,50,682,0,54
COOL,141,50,682,0,54
COOL,142,50,681,0,54
COOL,141,50,680,0,54
COOL,142,50,680,0,54
COOL,142,50,678,0,54
COOL,142,50,678,0,54
COOL,142,50,677,0,54
COOL,142,49,676,0,54
COOL,142,50,675,0,54
COOL,142,50,674,0,54
COOL,142,50,672,0,54
COOL,142,50,673,0,54
COOL,142,50,672,0,54
COOL,142,50,672,0,54
COOL,142,50,671,0,54
COOL,142,50,670,0,54
COOL,143,49,669,0,54
,,,,,
COOL,143,50,661,0,54
COOL,142,50,661,0,54
COOL,142,50,659,0,54
COOL,143,50,659,0,54
