state, ot, op, egt, rpm, thr
PASS,180,52,256,0,0
,,,,,
HEAT,179,51,258,0,0
HEAT,179,51,259,0,0
HEAT,179,52,259,0,0
HEAT,179,52,258,0,0
HEAT,179,51,259,0,0
HEAT,179,52,259,0,0
HEAT,179,51,259,0,0
HEAT,178,51,260,0,0
HEAT,179,52,260,0,0
HEAT,179,52,260,0,0
HEAT,178,52,261,0,0
HEAT,178,51,260,312,0
HEAT,179,52,260,1560,0
HEAT,179,52,260,2184,0
HEAT,179,52,261,2184,0
HEAT,178,51,260,2184,0
HEAT,178,52,261,2808,0
HEAT,179,52,261,2184,0
HEAT,178,52,261,2808,0
HEAT,179,52,261,2808,0
HEAT,178,52,261,6552,0
HEAT,178,51,261,2184,0
HEAT,179,51,261,2808,0
HEAT,178,52,263,2808,0
HEAT,179,52,265,2808,0
HEAT,179,52,266,2808,0
HEAT,179,52,269,2808,0
HEAT,179,51,271,2808,0
HEAT,179,51,275,3432,0
HEAT,178,51,278,2808,0
HEAT,179,52,280,2808,0
HEAT,178,51,285,2808,0
HEAT,179,51,289,2808,0
HEAT,178,52,294,2808,0
HEAT,178,52,298,2808,0
HEAT,179,51,303,2808,0
HEAT,178,51,309,2808,0
HEAT,178,51,314,2808,0
HEAT,178,52,319,2808,0
HEAT,179,52,324,2808,0
HEAT,178,51,330,2808,0
HEAT,178,51,335,2808,0
HEAT,179,52,342,2808,0
HEAT,178,52,347,2808,0
HEAT,179,51,354,3432,0
HEAT,178,52,360,2808,0
HEAT,178,52,365,2808,0
HEAT,179,52,371,2808,0
HEAT,179,51,377,2808,0
HEAT,178,51,384,2808,0
HEAT,178,51,390,2808,0
HEAT,178,52,396,3432,0
HEAT,179,51,403,2808,0
HEAT,179,52,409,2808,0
HEAT,179,52,414,2808,0
HEAT,178,51,421,2808,0
HEAT,178,52,426,2808,0
HEAT,178,51,433,2808,0
HEAT,178,51,439,3432,0
HEAT,177,52,444,2808,0
HEAT,178,52,452,2808,0
HEAT,179,51,458,2808,0
HEAT,179,52,463,2808,0
HEAT,179,52,469,2808,0
HEAT,179,51,475,2808,0
HEAT,177,52,482,2808,0
HEAT,177,51,487,2808,0
HEAT,178,51,493,2808,0
HEAT,178,50,499,2808,0
HEAT,178,51,505,2808,0
HEAT,179,51,511,2808,0
HEAT,178,51,516,2808,0
HEAT,179,51,522,2808,0
HEAT,178,52,528,2808,0
HEAT,178,51,534,2808,0
HEAT,178,51,539,2808,0
HEAT,178,51,544,2808,0
HEAT,178,52,549,2808,0
HEAT,179,51,555,2808,0
HEAT,178,52,559,3432,0
HEAT,178,52,566,2808,0
HEAT,179,51,571,2808,0
HEAT,178,52,576,2808,0
HEAT,178,51,581,2808,0
HEAT,179,52,585,2808,0
HEAT,178,51,591,3432,0
HEAT,179,51,596,2808,0
HEAT,179,52,602,2808,0
HEAT,178,51,606,2808,0
HEAT,177,51,612,2808,0
HEAT,179,51,617,2808,0
HEAT,177,51,621,2808,0
HEAT,177,52,625,2808,0
HEAT,178,52,631,2808,0
HEAT,178,51,634,3432,0
HEAT,178,51,639,2808,0
HEAT,179,52,643,2808,0
HEAT,179,51,649,2808,0
HEAT,179,52,653,2808,0
HEAT,178,51,657,2808,0
HEAT,178,52,662,2808,0
HEAT,178,52,666,2808,0
HEAT,178,51,671,2808,0
HEAT,179,51,675,2808,0
HEAT,179,52,678,2808,0
HEAT,178,51,683,3432,0
HEAT,179,51,686,2808,0
HEAT,178,51,690,2808,0
HEAT,178,51,694,2808,0
HEAT,179,51,699,2808,0
HEAT,179,52,702,2808,0
HEAT,178,52,707,2808,0
HEAT,178,52,711,2808,0
HEAT,179,52,714,2808,0
HEAT,179,52,718,2808,0
HEAT,178,52,722,3432,0
HEAT,179,51,724,2808,0
HEAT,178,52,728,2808,0
HEAT,178,52,732,2808,0
HEAT,178,52,735,2808,0
HEAT,178,52,739,2808,0
HEAT,179,51,743,2808,0
HEAT,178,52,745,2808,0
HEAT,178,52,750,2808,0
HEAT,178,52,752,2808,0
START,178,48,755,4056,0
START,178,52,757,6864,0
START,179,51,763,9360,0
START,178,50,766,11232,0
START,179,52,770,13104,0
START,179,51,776,14352,0
START,179,51,783,15600,0
START,179,52,793,15912,0
START,178,52,804,16536,0
START,178,52,816,17472,0
START,179,49,828,19344,0
START,178,50,842,20280,0
START,178,51,856,23088,0
START,179,53,871,23088,0
START,179,52,887,24336,0
START,179,52,904,26520,0
START,179,52,922,26832,0
START,178,52,941,28080,0
RUN,179,53,959,30576,0
RUN,178,50,980,32136,0
RUN,179,51,999,33696,0
RUN,178,53,1018,33384,0
RUN,179,50,1035,34632,0
RUN,178,51,1050,34944,0
RUN,179,51,1063,35256,0
RUN,179,51,1074,36192,0
RUN,179,51,1082,35568,0
RUN,179,51,1089,35880,0
RUN,178,51,1092,35880,0
RUN,178,51,1097,35568,0
RUN,179,51,1097,35568,0
RUN,178,50,1097,35568,0
RUN,179,50,1096,34944,0
RUN,179,51,1093,34944,0
RUN,179,50,1090,34632,0
RUN,178,50,1086,34632,0
RUN,179,50,1083,34320,0
RUN,178,49,1078,34008,0
RUN,179,49,1073,34632,0
RUN,179,51,1068,34008,0
RUN,178,50,1062,34320,0
RUN,179,49,1057,34008,0
RUN,178,51,1051,34008,0
RUN,179,51,1046,33696,0
RUN,179,50,1041,33696,0
RUN,177,50,1035,33384,0
RUN,179,50,1030,33072,0
RUN,178,50,1025,33072,0
RUN,178,49,1020,32448,0
RUN,179,51,1015,32760,0
RUN,178,50,1011,33072,0
RUN,179,50,1006,32760,0
RUN,179,50,1001,32760,0
RUN,178,50,997,32136,0
RUN,179,49,991,32448,0
RUN,179,51,988,32136,0
RUN,179,50,983,32136,0
RUN,179,49,979,32136,0
RUN,179,49,976,31512,0
RUN,178,49,972,31824,0
RUN,179,49,968,31512,0
RUN,178,50,965,31512,0
RUN,179,49,961,31200,0
RUN,179,49,959,31200,0
RUN,178,49,956,31512,0
RUN,180,49,953,30576,0
RUN,178,50,951,30264,33
RUN,179,49,948,31200,50
RUN,179,50,946,31512,53
RUN,179,50,944,32136,39
RUN,179,49,943,33696,25
RUN,179,49,942,33384,11
RUN,179,50,943,32760,5
RUN,179,50,944,32448,32
RUN,179,50,945,31824,67
RUN,179,50,945,33384,92
RUN,180,50,945,34944,90
RUN,180,49,945,36816,84
RUN,179,50,949,38376,82
RUN,180,49,952,39936,76
RUN,179,49,955,41808,73
RUN,180,50,960,41808,58
RUN,180,50,966,41184,43
RUN,180,50,970,41184,28
RUN,180,49,973,39936,13
RUN,179,50,976,38688,6
RUN,180,50,976,35256,4
RUN,180,51,977,34320,4
RUN,180,49,975,33072,4
RUN,180,50,973,32760,4
RUN,180,50,970,32448,4
RUN,180,49,968,31512,4
RUN,179,49,964,31200,4
RUN,180,49,961,30576,4
RUN,180,49,957,30576,4
RUN,180,49,952,30264,4
RUN,180,49,948,29952,4
RUN,180,49,945,29328,4
RUN,180,48,942,29016,4
RUN,180,49,938,28704,4
RUN,180,49,937,29640,4
RUN,180,48,933,29328,4
RUN,181,49,931,29328,4
RUN,181,48,930,28704,4
RUN,181,49,928,29328,4
RUN,181,49,926,29016,4
RUN,181,50,926,28704,4
RUN,180,49,925,28392,4
RUN,181,50,924,28392,4
RUN,180,51,924,28704,29
RUN,180,50,923,29640,64
RUN,182,49,924,30264,85
RUN,181,49,926,31512,74
RUN,181,52,928,34008,65
RUN,180,49,932,35568,62
RUN,181,48,938,36816,57
RUN,182,52,945,37128,42
RUN,181,52,952,37128,27
RUN,181,51,959,36816,12
RUN,181,49,964,35568,5
RUN,182,52,970,34632,4
RUN,181,51,975,33696,4
RUN,182,51,976,33072,4
RUN,182,51,978,32136,4
RUN,182,50,978,31512,4
RUN,181,50,977,31512,4
RUN,181,50,976,31200,4
RUN,182,53,975,30576,4
RUN,182,49,973,30576,4
RUN,182,51,970,29640,4
RUN,183,50,968,29328,4
RUN,183,48,966,29016,4
RUN,183,52,964,29328,4
RUN,183,51,961,29328,4
RUN,183,51,959,29016,4
RUN,183,50,957,29016,4
RUN,183,50,954,29016,4
RUN,184,48,953,28704,4
RUN,183,51,952,28704,4
RUN,182,49,951,29016,4
RUN,184,48,950,29640,4
RUN,183,50,950,29016,4
RUN,183,51,950,28704,4
RUN,183,50,950,28704,4
RUN,184,50,950,29016,4
RUN,184,49,950,29016,4
RUN,183,50,951,28704,4
RUN,183,49,951,29328,4
RUN,184,50,953,29328,4
RUN,185,50,954,29016,4
RUN,183,50,954,29328,4
