state, ot, op, egt, rpm, thr
PASS,90,51,88,0,0
,,,,,
HEAT,90,51,87,0,0
HEAT,91,51,88,0,0
HEAT,91,51,88,0,0
HEAT,90,51,87,0,0
HEAT,90,51,86,0,0
HEAT,90,51,88,0,0
HEAT,90,51,87,0,0
HEAT,91,51,88,0,0
HEAT,90,49,87,1560,0
HEAT,91,48,87,312,0
HEAT,90,50,87,936,0
HEAT,91,51,88,936,0
HEAT,91,50,88,936,0
HEAT,91,51,87,936,0
HEAT,91,51,88,936,0
HEAT,91,52,87,936,0
HEAT,90,51,88,312,0
HEAT,90,50,87,936,0
HEAT,91,50,88,936,0
HEAT,92,51,87,936,0
HEAT,91,52,87,936,0
HEAT,91,51,89,936,0
HEAT,91,51,89,936,0
HEAT,91,52,90,936,0
HEAT,90,51,91,936,0
HEAT,91,51,93,936,0
HEAT,92,51,96,312,0
HEAT,91,51,99,936,0
HEAT,91,51,104,936,0
HEAT,91,51,108,936,0
HEAT,91,51,113,936,0
HEAT,91,51,118,936,0
HEAT,91,51,123,936,0
HEAT,91,50,129,936,0
HEAT,90,50,135,936,0
HEAT,92,52,142,936,0
HEAT,92,51,149,936,0
HEAT,92,51,156,936,0
HEAT,92,51,163,936,0
HEAT,91,51,171,936,0
HEAT,91,52,180,936,0
HEAT,91,49,187,936,0
HEAT,92,51,196,936,0
HEAT,92,51,204,936,0
HEAT,91,51,213,936,0
HEAT,91,52,221,936,0
HEAT,92,52,230,936,0
HEAT,92,52,239,936,0
HEAT,91,51,247,936,0
HEAT,91,52,257,936,0
HEAT,91,52,265,936,0
HEAT,91,51,274,936,0
HEAT,92,51,282,936,0
HEAT,91,50,291,936,0
HEAT,92,52,298,936,0
HEAT,91,51,306,936,0
HEAT,92,51,315,936,0
HEAT,92,51,323,936,0
HEAT,92,50,331,936,0
HEAT,92,52,337,936,0
HEAT,91,50,346,936,0
HEAT,92,51,354,936,0
HEAT,92,52,361,936,0
HEAT,91,51,368,936,0
HEAT,92,51,376,936,0
HEAT,92,51,383,936,0
HEAT,92,51,390,936,0
HEAT,93,50,397,936,0
HEAT,92,52,403,936,0
HEAT,92,52,410,936,0
HEAT,92,51,417,936,0
HEAT,92,51,423,936,0
HEAT,92,50,431,936,0
HEAT,92,51,438,936,0
HEAT,92,51,443,936,0
HEAT,92,52,450,936,0
HEAT,92,52,456,936,0
HEAT,93,51,463,936,0
HEAT,92,51,468,936,0
HEAT,92,51,475,936,0
HEAT,92,50,478,936,0
HEAT,92,50,483,936,0
HEAT,93,49,490,936,0
HEAT,93,51,493,936,0
HEAT,92,50,498,936,0
HEAT,93,49,501,936,0
HEAT,93,50,505,1560,0
HEAT,92,50,509,936,0
HEAT,93,51,513,936,0
HEAT,91,52,516,936,0
HEAT,93,51,520,312,0
HEAT,92,50,524,312,0
HEAT,93,51,526,936,0
HEAT,93,51,531,936,0
HEAT,92,50,534,936,0
HEAT,93,50,538,936,0
HEAT,93,50,541,936,0
HEAT,93,52,545,936,0
HEAT,93,50,549,936,0
HEAT,92,51,552,936,0
HEAT,93,51,557,936,0
HEAT,93,51,561,936,0
HEAT,92,51,565,1560,0
HEAT,93,50,569,936,0
HEAT,93,51,574,936,0
HEAT,93,50,577,936,0
HEAT,93,51,582,936,0
HEAT,93,51,586,936,0
HEAT,93,49,591,936,0
HEAT,93,51,596,1560,0
HEAT,93,50,600,936,0
HEAT,92,51,605,936,0
HEAT,93,50,609,936,0
HEAT,94,51,614,936,0
HEAT,93,51,618,936,0
HEAT,93,49,623,936,0
HEAT,93,50,627,936,0
HEAT,94,50,631,936,0
