state, ot, op, egt, rpm, thr
PASS,112,52,203,0,0
,,,,,
HEAT,112,52,202,0,0
HEAT,112,52,202,0,0
HEAT,113,52,202,0,0
HEAT,112,52,203,0,0
HEAT,112,52,201,0,0
HEAT,112,52,203,0,0
HEAT,112,51,202,0,0
HEAT,112,46,202,936,0
HEAT,111,52,202,936,0
HEAT,112,53,202,936,0
HEAT,113,51,201,1560,0
HEAT,112,52,202,1560,0
HEAT,112,52,202,1560,0
HEAT,112,52,202,936,0
HEAT,112,51,202,936,0
HEAT,112,51,201,1560,0
HEAT,112,51,201,1560,0
HEAT,113,51,202,1560,0
HEAT,112,51,201,1560,0
HEAT,112,49,201,1560,0
HEAT,113,51,201,1560,0
HEAT,111,51,201,1560,0
HEAT,113,50,202,1560,0
HEAT,112,51,202,1560,0
HEAT,113,51,202,1560,0
HEAT,113,50,203,1560,0
HEAT,113,51,204,1560,0
HEAT,112,51,205,1560,0
HEAT,113,51,208,1560,0
HEAT,112,51,211,1560,0
HEAT,112,51,213,936,0
HEAT,113,50,216,936,0
HEAT,113,51,220,936,0
HEAT,112,50,223,936,0
HEAT,113,51,226,936,0
HEAT,113,51,230,936,0
HEAT,112,51,235,1560,0
HEAT,113,50,238,1560,0
HEAT,113,51,243,936,0
HEAT,112,51,247,936,0
HEAT,112,50,252,936,0
HEAT,112,51,257,936,0
HEAT,113,50,262,1560,0
HEAT,113,50,267,936,0
HEAT,112,50,272,936,0
HEAT,112,51,277,936,0
HEAT,113,51,282,936,0
HEAT,113,51,288,1560,0
HEAT,113,50,293,1560,0
HEAT,113,51,298,936,0
HEAT,112,50,305,936,0
HEAT,112,51,310,936,0
HEAT,113,50,315,1560,0
HEAT,112,50,320,1560,0
HEAT,112,51,327,1560,0
HEAT,113,51,332,936,0
HEAT,113,51,337,936,0
HEAT,113,51,343,1560,0
HEAT,113,51,349,1560,0
HEAT,113,51,354,1560,0
HEAT,113,51,360,1560,0
HEAT,113,51,364,1560,0
HEAT,113,51,370,1560,0
HEAT,113,51,376,1560,0
HEAT,113,51,381,1560,0
HEAT,113,51,387,1560,0
HEAT,113,51,392,1560,0
HEAT,112,51,399,1560,0
HEAT,113,51,404,1560,0
HEAT,112,50,409,1560,0
HEAT,113,50,414,1560,0
HEAT,112,51,420,1560,0
HEAT,113,51,425,1560,0
HEAT,112,50,430,1560,0
HEAT,113,51,435,1560,0
HEAT,113,50,440,1560,0
HEAT,112,51,446,1560,0
HEAT,113,51,451,1560,0
HEAT,112,51,456,1560,0
HEAT,113,51,461,1560,0
HEAT,113,52,467,1560,0
HEAT,112,50,472,1560,0
HEAT,113,51,477,1560,0
HEAT,112,51,482,1560,0
HEAT,113,51,487,1560,0
HEAT,113,51,492,1560,0
HEAT,113,51,497,1560,0
HEAT,113,51,501,1560,0
HEAT,113,50,506,1560,0
HEAT,113,51,512,1560,0
HEAT,112,50,516,1560,0
HEAT,113,51,521,1560,0
HEAT,113,51,525,1560,0
HEAT,113,51,531,1560,0
HEAT,113,51,535,1560,0
HEAT,112,51,540,1560,0
HEAT,113,51,544,1560,0
HEAT,113,51,549,1560,0
HEAT,113,51,554,936,0
HEAT,113,51,558,936,0
HEAT,113,50,563,936,0
HEAT,113,51,567,1560,0
HEAT,113,52,571,1560,0
HEAT,113,51,576,1560,0
HEAT,113,51,580,936,0
HEAT,113,51,585,936,0
HEAT,113,51,589,936,0
HEAT,113,51,591,936,0
HEAT,112,50,597,936,0
HEAT,113,50,601,936,0
HEAT,112,50,605,1560,0
HEAT,113,50,610,1560,0
HEAT,113,50,614,1560,0
HEAT,113,50,618,1560,0
HEAT,113,51,622,1560,0
HEAT,113,50,626,1560,0
HEAT,113,51,629,1560,0
HEAT,113,50,634,1560,0
HEAT,114,51,637,1560,0
HEAT,113,51,641,1560,0
HEAT,113,50,645,1560,0
HEAT,113,51,648,1560,0
HEAT,113,51,653,1560,0
HEAT,114,51,656,1560,0
HEAT,113,51,659,1560,0
HEAT,114,50,664,1560,0
HEAT,113,50,667,1560,0
HEAT,113,50,670,1560,0
HEAT,114,50,674,1560,0
HEAT,113,50,676,936,0
HEAT,114,51,681,936,0
HEAT,113,51,684,936,0
HEAT,113,51,686,936,0
HEAT,114,51,691,936,0
HEAT,114,51,694,936,0
HEAT,113,50,698,1560,0
HEAT,113,51,701,1560,0
HEAT,114,51,704,1560,0
HEAT,114,50,707,1560,0
HEAT,114,51,710,1560,0
HEAT,113,51,713,936,0
HEAT,114,51,716,1560,0
HEAT,112,51,720,1560,0
HEAT,113,51,722,1560,0
HEAT,113,51,726,1560,0
HEAT,113,51,729,1560,0
HEAT,114,51,731,1560,0
HEAT,114,51,734,1560,0
HEAT,113,51,738,1560,0
HEAT,113,51,739,1560,0
HEAT,113,50,743,1560,0
HEAT,113,51,746,1560,0
HEAT,114,51,749,1560,0
HEAT,114,52,752,936,0
START,114,47,754,2184,0
START,113,38,757,4680,0
START,114,38,760,5928,0
START,113,45,763,6552,0
START,114,43,766,7176,0
START,114,47,768,8424,0
START,113,50,771,8112,0
START,113,49,772,9360,0
START,113,51,774,9672,0
START,113,50,777,9672,0
START,114,45,780,10608,0
START,114,47,783,11232,0
START,114,47,788,11856,0
START,114,52,793,12168,0
START,113,51,800,13104,0
START,114,51,808,13416,0
START,114,51,817,13416,0
START,114,52,827,14040,0
START,114,52,838,14352,0
START,114,52,850,14976,0
START,114,54,863,14976,0
START,114,51,877,15600,0
START,113,50,891,15912,0
START,114,51,908,16224,0
START,114,51,925,17160,0
START,114,52,943,17160,0
START,114,53,962,18408,0
START,114,54,982,19032,0
START,115,52,1004,19968,0
START,114,52,1026,20592,0
START,114,53,1049,20904,0
START,114,53,1072,22152,0
START,114,53,1095,23400,0
START,114,52,1118,24648,0
START,113,51,1141,25272,0
START,114,51,1164,26520,0
START,114,52,1187,29328,0
RUN,113,51,1208,31512,0
RUN,114,50,1229,33384,0
RUN,114,50,1247,34944,0
RUN,114,51,1264,35256,0
RUN,114,51,1276,35256,0
RUN,114,50,1287,35880,0
RUN,113,50,1292,34320,0
RUN,114,49,1295,34632,0
RUN,114,50,1294,34320,0
RUN,114,50,1291,33696,0
RUN,114,50,1286,33696,0
RUN,115,49,1278,33384,0
RUN,114,50,1269,33696,0
RUN,114,50,1260,33384,0
RUN,114,50,1251,33384,0
RUN,114,49,1238,33384,0
RUN,115,49,1226,33696,0
RUN,114,49,1213,33072,0
RUN,114,49,1202,32760,0
RUN,114,49,1188,32448,0
RUN,114,49,1177,31824,0
RUN,114,49,1164,32136,0
RUN,114,49,1152,32136,0
RUN,114,49,1139,31512,0
RUN,113,49,1127,31512,0
RUN,114,49,1114,32136,0
RUN,114,49,1102,31200,0
RUN,114,49,1091,31824,0
RUN,114,48,1080,31200,0
RUN,114,49,1069,31512,0
RUN,114,50,1058,30888,0
RUN,113,49,1048,30888,0
RUN,114,49,1038,30888,0
RUN,114,49,1028,30576,0
RUN,114,49,1018,30576,0
RUN,114,49,1009,30576,0
RUN,115,49,1001,29952,0
RUN,114,49,992,30264,0
RUN,115,49,985,29952,0
RUN,115,49,976,29640,0
RUN,115,49,969,29016,0
RUN,115,49,962,29952,0
RUN,115,49,954,30264,0
RUN,115,49,948,30264,0
RUN,115,49,942,29952,0
RUN,114,49,936,30576,0
RUN,115,49,930,30264,0
RUN,115,49,926,30888,0
RUN,116,49,921,30576,0
RUN,116,49,916,30264,0
RUN,115,49,912,30264,0
RUN,115,49,908,30576,0
RUN,116,49,905,30576,0
RUN,116,49,900,30264,0
RUN,115,49,896,29640,0
RUN,116,49,893,30576,0
RUN,116,49,890,30576,0
RUN,116,49,887,30264,0
RUN,116,49,883,29952,0
RUN,116,49,880,29952,0
RUN,116,49,877,29952,0
RUN,116,49,873,29640,0
RUN,116,49,870,29952,0
RUN,115,49,868,29640,0
RUN,117,49,864,29640,0
RUN,116,49,863,29952,0
RUN,116,49,861,30888,0
RUN,116,49,859,30888,0
RUN,116,49,856,31512,0
RUN,117,49,855,30576,0
RUN,117,49,854,30576,0
RUN,117,49,852,30888,0
RUN,116,49,850,31512,0
RUN,117,49,849,30888,0
RUN,117,49,847,30576,0
RUN,117,48,846,29952,0
RUN,117,48,844,30888,0
RUN,117,48,842,30264,0
RUN,117,48,841,29952,0
RUN,117,48,838,29952,0
RUN,118,48,838,29952,0
RUN,117,49,836,29016,0
RUN,118,49,834,29328,0
RUN,118,49,833,29640,0
RUN,117,49,832,29640,0
RUN,117,49,830,29952,0
RUN,118,49,829,29952,0
RUN,119,49,828,30888,0
RUN,118,49,827,29952,0
RUN,118,48,826,30576,0
RUN,118,48,825,30576,0
RUN,118,48,825,30264,0
RUN,118,49,824,30576,0
RUN,118,49,824,30576,0
RUN,119,49,823,30264,0
RUN,118,48,823,30264,0
RUN,119,48,822,30576,0
RUN,119,48,822,30576,0
RUN,120,48,821,30888,0
RUN,119,48,820,29952,0
RUN,119,48,819,29952,0
RUN,120,48,819,30264,0
RUN,119,48,818,30264,0
RUN,120,48,817,29952,0
RUN,120,48,817,29640,0
RUN,120,48,816,30264,0
RUN,120,48,815,30264,0
RUN,119,48,815,30264,0
RUN,121,48,815,30576,0
RUN,120,48,815,29952,0
RUN,120,48,813,30576,0
RUN,121,48,814,29952,0
RUN,121,48,813,30264,0
RUN,121,48,812,29952,0
RUN,121,48,813,29952,0
RUN,122,48,812,30264,0
RUN,122,48,812,29952,0
RUN,121,48,811,30888,0
RUN,122,48,811,30576,0
RUN,122,48,810,30576,0
RUN,122,48,810,30576,0
RUN,122,48,810,30888,0
RUN,122,48,810,30888,0
RUN,122,48,810,29952,0
RUN,122,48,810,29640,0
RUN,122,48,810,29640,0
RUN,122,48,810,29952,0
RUN,123,48,809,29952,0
RUN,122,48,808,30264,0
RUN,123,48,808,29952,0
RUN,122,48,808,30576,0
RUN,123,48,808,30576,0
RUN,122,49,808,30888,0
RUN,123,48,807,30576,0
RUN,124,48,807,30264,0
RUN,123,48,807,30264,0
RUN,124,48,806,30264,0
RUN,123,48,807,30576,0
RUN,123,48,806,30264,0
RUN,124,48,807,30264,0
RUN,124,48,806,30264,0
RUN,124,48,806,29952,0
RUN,124,48,807,30264,0
RUN,124,48,806,29952,0
RUN,125,48,806,30576,0
RUN,124,48,806,30576,0
RUN,125,48,806,30888,0
RUN,125,48,805,30576,0
RUN,125,48,805,30888,0
RUN,125,48,804,30576,0
RUN,125,48,803,29952,0
RUN,126,48,803,30264,0
RUN,125,48,803,30888,0
RUN,125,48,803,30264,0
RUN,126,48,803,29952,0
RUN,125,48,802,30576,0
RUN,125,48,802,30888,0
RUN,125,48,802,29952,0
RUN,126,48,801,29640,0
RUN,126,48,802,29952,0
RUN,126,48,801,29328,0
RUN,126,48,801,29328,0
RUN,126,48,800,29640,0
RUN,126,48,800,29328,0
RUN,126,48,800,29952,0
RUN,126,48,800,29640,0
RUN,126,48,800,29640,0
RUN,126,48,799,29952,0
RUN,126,49,799,29640,0
RUN,126,48,800,30264,0
RUN,127,48,799,29640,0
RUN,127,48,799,29952,0
RUN,126,48,800,29640,0
RUN,127,48,799,29328,0
RUN,127,48,799,29328,0
RUN,127,48,800,29328,0
RUN,127,48,799,30264,0
RUN,126,48,799,30264,0
RUN,126,48,800,29952,0
RUN,127,48,799,30264,0
RUN,128,48,800,30264,0
RUN,127,48,800,29952,0
RUN,127,48,801,30264,0
RUN,128,48,801,29952,0
RUN,128,48,801,30576,0
RUN,128,48,802,30576,0
RUN,129,48,802,29952,0
RUN,128,48,802,30264,0
RUN,128,48,803,30576,0
RUN,128,48,803,29952,0
RUN,129,48,804,29952,0
RUN,129,48,804,29952,0
RUN,128,48,802,30264,0
RUN,129,48,804,29952,0
RUN,129,48,803,29952,0
RUN,129,48,804,29952,0
RUN,129,48,803,29952,0
RUN,129,48,804,30264,0
RUN,129,48,803,29640,0
RUN,129,48,804,30264,0
RUN,130,48,804,29640,0
RUN,130,48,805,29952,0
RUN,129,48,804,30264,0
RUN,130,48,805,30888,0
RUN,130,48,805,30576,0
RUN,130,48,805,30576,0
RUN,130,48,805,30264,0
RUN,130,48,805,30264,0
RUN,130,48,806,30576,0
RUN,130,48,805,30264,0
RUN,130,48,806,29640,0
RUN,130,48,806,29952,0
RUN,131,48,806,29952,0
RUN,131,48,805,29016,0
RUN,131,47,805,29328,0
RUN,131,48,805,29328,0
RUN,131,48,804,29328,0
RUN,131,48,804,30264,0
RUN,131,48,804,29328,0
RUN,131,48,804,29952,0
RUN,131,48,803,29952,0
RUN,131,48,803,29640,0
RUN,131,48,803,29952,0
RUN,131,48,804,30264,0
RUN,131,48,802,29952,0
RUN,132,48,805,30576,0
RUN,132,48,805,30264,0
RUN,132,48,805,30888,0
RUN,131,48,805,30264,0
RUN,132,48,805,30576,0
RUN,132,48,806,29952,0
RUN,132,48,806,30264,0
RUN,132,48,806,29952,0
RUN,131,48,806,30264,0
RUN,132,48,806,29328,0
RUN,132,48,805,29328,0
RUN,133,48,806,30264,0
RUN,133,48,806,29640,0
RUN,133,48,805,29952,0
RUN,133,48,805,29952,0
RUN,133,48,805,29016,0
RUN,133,48,805,29016,0
RUN,133,48,805,29328,0
RUN,133,48,804,29016,0
RUN,133,48,805,29640,0
RUN,133,48,805,29952,0
RUN,133,48,804,29952,0
RUN,134,48,805,30264,0
RUN,134,48,804,29952,0
RUN,133,48,806,29952,10
RUN,134,48,806,30576,43
RUN,135,48,806,31200,67
RUN,134,48,806,34008,72
RUN,134,48,808,35880,72
RUN,133,48,810,37752,81
RUN,135,47,814,40248,94
RUN,134,49,819,42432,104
RUN,134,49,825,45240,115
RUN,135,48,831,48360,126
RUN,135,48,837,48984,138
RUN,135,48,842,50856,149
RUN,135,49,848,52416,164
RUN,135,48,853,54288,180
RUN,135,48,857,54912,196
RUN,135,48,861,56160,216
RUN,135,48,866,58032,236
RUN,135,48,869,59904,255
RUN,135,47,873,61776,255
RUN,136,48,878,61776,255
RUN,136,48,881,62400,255
RUN,136,48,886,62400,255
RUN,136,48,890,62400,255
RUN,136,48,893,63024,255
RUN,136,48,898,62400,255
RUN,136,48,903,61776,255
RUN,136,48,908,62088,255
RUN,136,49,913,62712,255
RUN,137,47,917,63336,255
RUN,137,48,921,62400,255
RUN,137,48,926,63336,255
RUN,137,48,929,62712,255
RUN,137,48,934,63960,255
RUN,137,48,938,62712,255
RUN,138,48,941,62712,255
RUN,137,48,946,62088,255
RUN,138,48,950,62712,255
RUN,137,48,954,62712,255
RUN,138,48,957,62712,255
RUN,137,48,961,63336,255
RUN,138,48,964,63336,255
RUN,138,48,968,63336,255
RUN,137,48,971,63960,255
RUN,138,48,973,63960,255
RUN,138,48,976,62712,255
RUN,139,48,979,62712,255
RUN,139,48,983,62088,255
RUN,138,48,985,62712,255
RUN,138,48,987,63336,255
RUN,140,48,990,62088,255
RUN,139,48,993,62712,255
RUN,140,49,995,62712,255
RUN,140,48,997,62712,255
RUN,140,48,1000,63960,255
RUN,140,48,1001,63336,255
RUN,140,48,1004,63336,255
RUN,140,49,1006,63336,255
RUN,140,48,1008,63960,255
RUN,140,49,1010,63960,255
RUN,140,48,1012,63960,255
RUN,140,48,1013,63336,255
RUN,141,48,1015,63336,255
RUN,141,48,1016,63960,255
RUN,142,48,1018,63336,255
RUN,142,48,1020,63336,255
RUN,142,48,1021,63336,255
RUN,142,48,1022,63336,255
RUN,143,48,1024,63960,255
RUN,143,48,1025,63960,255
RUN,143,48,1026,63336,255
RUN,143,48,1027,63336,255
RUN,143,49,1027,63336,255
RUN,144,49,1031,63960,255
RUN,144,48,1032,63960,255
RUN,144,48,1032,63336,243
RUN,145,48,1034,63336,228
RUN,145,48,1035,61776,213
RUN,145,48,1035,61776,198
RUN,145,47,1035,61152,183
RUN,145,48,1036,59280,168
RUN,146,48,1036,58032,153
RUN,146,48,1035,56784,138
RUN,146,48,1033,55536,126
RUN,146,48,1031,54912,115
RUN,147,48,1029,53352,105
RUN,146,48,1025,52728,95
RUN,147,48,1021,51480,88
RUN,148,49,1016,50856,81
RUN,147,49,1010,48984,74
RUN,147,49,1005,47424,66
RUN,149,49,998,46176,58
RUN,149,48,990,44928,51
RUN,148,48,985,43992,45
RUN,149,48,977,43368,39
RUN,149,48,970,41808,32
RUN,149,48,962,39936,25
RUN,150,48,955,39000,0
RUN,149,48,948,37440,0
RUN,150,48,940,36816,0
RUN,150,48,932,35256,0
RUN,150,48,924,34320,0
RUN,151,48,917,34008,0
