state, ot, op, egt, rpm, thr
PASS,109,50,265,0,0
,,,,,
HEAT,109,50,265,0,0
HEAT,109,50,264,0,0
HEAT,109,50,265,0,0
HEAT,108,50,265,0,0
HEAT,110,50,264,0,0
HEAT,110,50,266,0,0
HEAT,109,49,266,0,0
HEAT,109,48,265,312,0
HEAT,110,50,266,936,0
HEAT,109,49,265,936,0
HEAT,109,50,266,936,0
HEAT,110,50,266,1560,0
HEAT,109,49,265,1560,0
HEAT,109,49,265,936,0
HEAT,110,50,265,1560,0
HEAT,109,50,265,1560,0
HEAT,109,50,265,1560,0
HEAT,109,50,265,1560,0
HEAT,108,50,264,936,0
HEAT,109,50,265,936,0
HEAT,110,50,263,1560,0
HEAT,110,50,265,936,0
HEAT,109,50,265,1560,0
HEAT,109,49,266,1560,0
HEAT,110,48,268,1560,0
HEAT,110,49,270,936,0
HEAT,108,49,271,1560,0
HEAT,110,50,275,1560,0
HEAT,109,49,278,1560,0
HEAT,109,49,280,1560,0
HEAT,109,50,285,936,0
HEAT,110,50,288,1560,0
HEAT,110,49,293,1560,0
HEAT,110,49,297,1560,0
HEAT,110,49,302,1560,0
HEAT,110,50,307,936,0
HEAT,109,49,313,1560,0
HEAT,108,49,319,1560,0
HEAT,109,49,324,936,0
HEAT,110,50,329,936,0
HEAT,109,50,337,1560,0
HEAT,109,49,342,1560,0
HEAT,109,49,348,1560,0
HEAT,109,50,353,936,0
HEAT,108,48,360,1560,0
HEAT,109,49,367,1560,0
HEAT,110,49,373,1560,0
HEAT,109,49,378,936,0
HEAT,110,50,387,1560,0
HEAT,110,49,392,1560,0
HEAT,110,49,398,936,0
HEAT,108,49,405,1560,0
HEAT,109,49,411,1560,0
HEAT,110,49,418,1560,0
HEAT,109,49,425,936,0
HEAT,109,49,431,1560,0
HEAT,110,49,438,1560,0
HEAT,108,50,444,936,0
HEAT,110,49,451,1560,0
HEAT,110,49,458,1560,0
HEAT,109,48,464,1560,0
HEAT,110,49,470,936,0
HEAT,109,49,477,1560,0
HEAT,109,50,483,1560,0
HEAT,110,49,489,1560,0
HEAT,110,49,496,1560,0
HEAT,109,50,502,1560,0
HEAT,109,49,509,1560,0
HEAT,110,50,514,1560,0
HEAT,110,50,521,1560,0
HEAT,109,49,527,1560,0
HEAT,110,49,533,936,0
HEAT,110,49,540,1560,0
HEAT,109,49,545,1560,0
HEAT,110,48,551,936,0
HEAT,109,49,558,1560,0
HEAT,110,49,563,1560,0
HEAT,110,49,570,1560,0
HEAT,110,49,576,936,0
HEAT,110,48,581,1560,0
HEAT,110,49,587,1560,0
HEAT,110,50,593,1560,0
HEAT,110,48,599,1560,0
HEAT,109,49,605,1560,0
HEAT,110,49,610,936,0
HEAT,110,49,615,1560,0
HEAT,110,49,621,1560,0
HEAT,110,50,627,936,0
HEAT,109,49,632,1560,0
HEAT,110,49,638,1560,0
HEAT,109,49,643,1560,0
HEAT,109,49,648,936,0
HEAT,110,49,655,1560,0
HEAT,108,49,660,1560,0
HEAT,110,49,665,1560,0
HEAT,110,49,671,1560,0
HEAT,110,49,675,1560,0
HEAT,109,49,680,936,0
HEAT,110,50,685,1560,0
HEAT,110,49,691,1560,0
HEAT,109,49,696,936,0
HEAT,110,49,700,1560,0
HEAT,110,49,705,1560,0
HEAT,109,49,709,936,0
HEAT,110,49,715,1560,0
HEAT,110,49,719,1560,0
HEAT,110,49,725,936,0
HEAT,109,49,727,1560,0
HEAT,110,49,733,1560,0
HEAT,110,50,738,936,0
HEAT,110,49,742,1560,0
HEAT,110,49,746,1560,0
HEAT,110,48,752,1560,0
START,110,42,756,2808,0
START,109,38,760,4680,0
START,110,43,765,5928,0
START,111,46,769,6864,0
START,109,45,774,7488,0
START,109,47,777,8112,0
START,110,48,782,8112,0
START,110,49,783,9672,0
START,110,50,787,9360,0
START,110,49,788,9360,0
START,110,45,789,9360,0
START,109,47,789,10296,0
START,109,47,788,10608,0
START,110,48,788,11232,0
START,109,49,786,11232,0
START,110,51,783,11856,0
START,110,50,781,11856,0
START,110,49,778,11856,0
START,110,49,774,11856,0
START,109,49,771,11856,0
START,110,50,767,11856,0
START,110,51,763,11856,0
START,109,49,760,11856,0
START,110,50,754,12168,0
START,110,52,750,12792,0
START,110,52,747,13104,0
START,111,53,743,13728,0
START,110,50,739,13728,0
START,110,52,738,14352,0
START,110,51,736,14976,0
START,110,52,736,14976,0
START,110,52,737,14664,0
START,110,52,738,15600,0
START,110,51,741,15288,0
START,110,51,745,15912,0
START,110,51,750,16536,0
START,110,51,756,17160,0
START,110,51,764,18096,0
START,111,51,770,17784,0
START,110,52,780,18408,0
START,110,52,790,19032,0
START,110,53,801,19344,0
START,110,52,813,19968,0
START,111,52,826,20280,0
START,110,52,838,19968,0
START,109,52,852,20592,0
START,111,52,867,20904,0
COOL,111,53,880,36192,0
COOL,111,54,893,21528,0
COOL,110,53,908,20280,0
COOL,111,52,919,16536,0
COOL,111,52,929,15600,0
COOL,111,52,938,14352,0
COOL,110,52,945,12480,0
COOL,111,52,950,11856,0
COOL,111,51,950,9984,0
COOL,111,52,953,8736,0
COOL,110,52,953,9048,0
COOL,111,52,952,7800,0
COOL,110,52,950,7176,0
COOL,110,52,947,6552,0
COOL,111,52,944,5928,0
COOL,111,52,941,4680,0
COOL,111,52,937,4680,0
COOL,111,52,933,4056,0
COOL,111,52,928,3432,0
COOL,110,52,924,2808,0
COOL,110,52,919,2808,0
COOL,111,52,915,2184,0
COOL,111,52,909,2184,0
COOL,110,52,905,1560,0
COOL,111,52,900,1560,0
COOL,111,52,895,1560,0
COOL,111,52,891,1560,0
COOL,110,52,887,936,0
COOL,111,52,883,936,0
COOL,111,52,880,936,0
COOL,111,52,875,312,0
COOL,110,52,871,312,0
COOL,111,52,868,312,0
COOL,111,50,864,312,0
COOL,111,49,861,312,0
COOL,111,49,857,936,0
COOL,110,50,855,936,0
COOL,110,50,851,1560,0
COOL,111,51,849,1560,0
COOL,111,51,846,1560,0
COOL,111,51,842,1560,0
COOL,111,51,839,1560,0
COOL,112,50,837,936,0
COOL,111,51,834,1560,0
COOL,111,51,831,936,0
COOL,112,51,828,1560,0
COOL,111,52,825,1560,0
COOL,111,51,822,1560,0
COOL,110,51,819,936,0
COOL,111,51,817,1560,0
COOL,111,51,814,936,0
COOL,111,52,810,1560,0
COOL,111,51,808,1560,0
COOL,111,52,805,1560,0
COOL,110,51,803,1560,0
COOL,111,51,800,1560,0
COOL,111,52,796,1560,0
COOL,111,52,794,1560,0
COOL,111,52,792,1560,0
COOL,112,52,788,1560,0
COOL,112,52,786,1560,0
COOL,112,52,783,1560,0
COOL,112,52,781,1560,0
COOL,112,52,778,1560,0
COOL,111,51,774,1560,0
COOL,112,51,772,936,0
COOL,112,52,770,1560,0
COOL,112,52,767,936,0
COOL,112,51,764,1560,0
COOL,112,51,761,936,0
COOL,110,51,759,1560,0
COOL,112,51,756,1560,0
COOL,111,51,755,1560,0
COOL,112,52,752,1560,0
COOL,112,51,749,1560,0
COOL,111,51,747,1560,0
COOL,112,51,744,936,0
COOL,112,50,742,1560,0
COOL,112,50,739,1560,0
COOL,112,51,737,1560,0
COOL,112,51,734,1560,0
COOL,111,51,733,1560,0
COOL,112,51,730,1560,0
COOL,112,51,727,936,0
COOL,112,51,725,1560,0
COOL,112,51,723,936,0
COOL,112,51,720,1560,0
COOL,112,51,718,1560,0
COOL,112,50,716,1560,0
COOL,113,51,713,1560,0
COOL,113,51,711,936,0
COOL,112,50,709,1560,0
COOL,112,51,706,936,0
COOL,112,51,705,1560,0
COOL,113,51,702,1560,0
COOL,113,51,700,1560,0
COOL,112,51,698,1560,0
COOL,112,51,696,936,0
COOL,113,51,693,1560,0
COOL,112,51,691,936,0
COOL,113,51,689,1560,0
COOL,113,51,688,1560,0
COOL,113,51,685,1560,0
COOL,113,50,683,1560,0
COOL,113,50,681,936,0
COOL,113,50,679,1560,0
COOL,113,50,677,1560,0
COOL,113,50,675,1560,0
COOL,113,51,673,1560,0
COOL,113,52,670,936,0
COOL,113,51,669,1560,0
COOL,113,51,667,936,0
COOL,113,51,665,1560,0
COOL,113,51,663,1560,0
COOL,113,51,661,1560,0
COOL,113,51,658,1560,0
COOL,113,51,657,1560,0
COOL,113,51,656,1560,0
COOL,113,51,653,936,0
COOL,113,51,651,1560,0
COOL,112,51,650,1560,0
COOL,113,51,648,1560,0
COOL,113,52,646,1560,0
COOL,113,51,644,1560,0
COOL,113,51,642,1560,0
COOL,113,51,641,1560,0
COOL,113,50,638,1560,0
COOL,113,50,637,1560,0
COOL,113,50,635,1560,0
COOL,113,51,633,1560,0
COOL,113,51,631,1560,0
