state, ot, op, egt, rpm, thr
PASS,142,52,285,0,0
,,,,,
HEAT,141,53,286,0,0
HEAT,143,52,286,0,0
HEAT,143,52,285,0,0
HEAT,142,52,285,0,0
HEAT,143,52,285,0,0
HEAT,142,52,285,0,0
HEAT,143,53,285,0,0
HEAT,143,52,284,0,0
HEAT,143,52,285,0,0
HEAT,142,52,285,0,0
HEAT,142,52,285,0,0
HEAT,143,52,285,0,0
HEAT,144,51,285,936,0
HEAT,144,51,284,2184,0
HEAT,143,52,284,2184,0
HEAT,144,52,284,2184,0
HEAT,144,52,284,2808,0
HEAT,143,52,283,2808,0
HEAT,144,52,284,2184,0
HEAT,143,52,284,2184,0
HEAT,143,51,283,2808,0
HEAT,144,52,283,2808,0
HEAT,144,51,284,2184,0
HEAT,144,52,284,2808,0
HEAT,143,51,285,2808,0
HEAT,143,52,287,2808,0
HEAT,144,51,290,2808,0
HEAT,144,51,293,2808,0
HEAT,144,51,296,2808,0
HEAT,144,51,299,2808,0
HEAT,145,51,303,2808,0
HEAT,144,51,308,2808,0
HEAT,144,50,312,2808,0
HEAT,144,51,316,2808,0
HEAT,144,51,321,2808,0
HEAT,144,51,326,2808,0
HEAT,145,51,332,2808,0
HEAT,145,52,338,2184,0
HEAT,145,51,344,2184,0
HEAT,145,51,350,2184,0
HEAT,145,52,356,2808,0
HEAT,145,52,362,2184,0
HEAT,144,51,370,2184,0
HEAT,145,52,375,2808,0
HEAT,144,52,382,2808,0
HEAT,145,52,390,2808,0
HEAT,144,52,396,2184,0
HEAT,145,52,403,2808,0
HEAT,145,52,410,2808,0
HEAT,145,52,418,2184,0
HEAT,145,51,425,2184,0
HEAT,145,51,432,2808,0
HEAT,145,51,439,2808,0
HEAT,144,52,446,2808,0
HEAT,145,51,453,2808,0
HEAT,145,52,460,2808,0
HEAT,145,51,467,2184,0
HEAT,144,51,476,2808,0
HEAT,144,51,481,2808,0
HEAT,144,52,489,2184,0
HEAT,144,51,497,2808,0
HEAT,145,51,504,2808,0
HEAT,145,51,511,2184,0
HEAT,144,51,518,2184,0
HEAT,145,52,525,2808,0
HEAT,145,51,532,2184,0
HEAT,145,51,539,2184,0
HEAT,145,52,545,2808,0
HEAT,144,52,553,2808,0
HEAT,144,51,558,2808,0
HEAT,144,51,565,2184,0
HEAT,145,51,572,2808,0
HEAT,144,52,579,2184,0
HEAT,144,51,585,2184,0
HEAT,144,51,592,2808,0
HEAT,144,51,598,2808,0
HEAT,144,51,604,2184,0
HEAT,144,51,610,2808,0
HEAT,144,52,616,2808,0
HEAT,145,51,623,2184,0
HEAT,144,52,628,2808,0
HEAT,144,52,635,2808,0
HEAT,144,51,640,2808,0
HEAT,144,52,646,2184,0
HEAT,144,52,652,2808,0
HEAT,144,51,658,2184,0
HEAT,144,51,663,2808,0
HEAT,145,52,669,2808,0
HEAT,144,52,674,2184,0
HEAT,144,52,680,2184,0
HEAT,144,51,685,2184,0
