state, ot, op, egt, rpm, thr
PASS,148,51,293,0,0
,,,,,
HEAT,149,52,295,0,0
HEAT,148,51,294,0,0
HEAT,148,51,297,0,0
HEAT,148,51,295,0,0
HEAT,147,51,296,0,0
HEAT,148,51,297,0,0
HEAT,148,49,296,0,0
HEAT,148,51,296,1560,0
HEAT,148,52,297,1560,0
HEAT,148,51,297,1560,0
HEAT,148,52,297,2184,0
HEAT,148,51,297,2184,0
HEAT,147,51,296,2184,0
HEAT,148,52,296,2184,0
HEAT,148,52,297,2184,0
HEAT,148,52,297,2184,0
HEAT,147,52,296,2184,0
HEAT,147,52,295,2808,0
HEAT,148,51,296,2184,0
HEAT,148,52,296,2184,0
HEAT,147,52,296,2808,0
HEAT,147,52,296,2184,0
HEAT,147,52,297,2184,0
HEAT,148,51,297,2184,0
HEAT,146,52,300,2184,0
HEAT,147,51,301,2184,0
HEAT,148,51,303,2184,0
HEAT,147,51,307,2808,0
HEAT,148,51,311,2808,0
HEAT,148,52,315,2808,0
HEAT,147,51,319,2808,0
HEAT,148,51,324,2808,0
HEAT,147,52,328,2184,0
HEAT,146,51,334,2184,0
HEAT,148,51,339,2184,0
HEAT,148,51,345,2184,0
HEAT,147,51,350,2184,0
HEAT,148,51,356,2184,0
HEAT,148,51,363,2184,0
HEAT,148,51,369,2184,0
HEAT,147,51,376,2184,0
HEAT,148,51,382,2184,0
HEAT,147,51,390,2184,0
HEAT,149,51,396,2184,0
HEAT,147,51,403,2184,0
HEAT,147,51,410,2184,0
HEAT,148,51,418,2184,0
HEAT,148,51,424,2184,0
HEAT,148,52,431,2184,0
HEAT,148,51,439,2184,0
HEAT,148,52,445,2184,0
HEAT,148,51,453,2184,0
HEAT,148,51,459,2184,0
HEAT,148,51,467,2184,0
HEAT,148,51,474,2184,0
HEAT,149,51,481,2184,0
HEAT,148,51,487,2184,0
HEAT,148,51,494,2184,0
HEAT,148,51,502,2184,0
HEAT,148,51,509,2184,0
HEAT,149,51,516,2184,0
HEAT,148,51,522,2184,0
HEAT,149,51,529,2184,0
HEAT,149,51,536,2184,0
HEAT,148,51,541,2184,0
HEAT,149,51,549,2184,0
HEAT,149,52,556,2184,0
HEAT,149,52,562,2184,0
HEAT,149,51,569,2184,0
HEAT,149,51,575,2184,0
HEAT,149,51,581,2184,0
HEAT,149,52,587,2184,0
HEAT,149,51,593,2808,0
HEAT,149,51,599,2808,0
HEAT,149,52,605,2808,0
HEAT,149,51,611,2184,0
HEAT,149,51,617,2184,0
HEAT,149,52,622,2184,0
HEAT,149,52,629,2808,0
HEAT,149,51,634,2808,0
HEAT,149,51,640,2808,0
HEAT,149,52,644,2808,0
HEAT,149,52,651,2808,0
HEAT,150,50,657,2808,0
HEAT,149,51,661,2184,0
HEAT,149,51,666,2184,0
HEAT,149,51,672,2184,0
HEAT,150,51,676,2184,0
HEAT,149,51,682,2184,0
HEAT,150,52,687,2184,0
HEAT,149,51,691,2184,0
HEAT,149,51,697,2184,0
