state, ot, op, egt, rpm, thr
PASS,146,49,86,0,0
,,,,,
HEAT,146,49,85,0,0
HEAT,145,49,86,0,0
HEAT,146,49,86,0,0
HEAT,145,49,86,0,0
HEAT,145,49,86,0,0
HEAT,146,49,85,0,0
HEAT,146,48,86,0,0
HEAT,145,47,85,936,0
HEAT,146,49,86,1560,0
HEAT,145,50,86,2184,0
HEAT,145,49,86,1560,0
HEAT,145,49,86,2184,0
HEAT,145,50,86,2184,0
HEAT,145,49,85,2184,0
HEAT,145,50,86,2184,0
HEAT,145,49,86,2184,0
HEAT,145,50,85,2808,0
HEAT,145,49,86,2184,0
HEAT,145,50,86,2184,0
HEAT,145,49,86,2808,0
HEAT,145,50,86,2184,0
HEAT,145,50,86,2808,0
HEAT,145,50,86,2184,0
HEAT,146,50,88,2184,0
HEAT,145,50,90,2184,0
HEAT,145,50,91,2184,0
HEAT,145,50,94,2808,0
HEAT,145,50,96,2184,0
HEAT,145,50,100,2184,0
HEAT,145,50,104,2808,0
HEAT,145,49,108,2184,0
HEAT,145,49,112,2184,0
HEAT,145,50,116,2184,0
HEAT,145,50,122,2184,0
HEAT,145,50,127,2184,0
HEAT,145,49,133,2808,0
HEAT,146,49,140,2184,0
HEAT,145,49,146,2184,0
HEAT,146,50,152,2808,0
HEAT,146,49,158,2184,0
HEAT,144,50,165,2184,0
HEAT,145,50,172,2184,0
HEAT,145,50,180,2808,0
HEAT,145,49,187,2184,0
HEAT,145,49,194,2184,0
HEAT,145,50,203,2184,0
HEAT,145,49,210,2808,0
HEAT,145,50,217,2808,0
HEAT,145,49,225,2184,0
HEAT,146,50,234,2184,0
HEAT,145,49,241,2184,0
HEAT,146,50,249,2808,0
HEAT,146,49,257,2808,0
HEAT,145,49,266,2808,0
HEAT,145,50,273,2184,0
HEAT,145,50,281,2184,0
HEAT,145,50,289,2184,0
HEAT,146,50,296,2184,0
HEAT,146,49,304,2184,0
HEAT,146,50,312,2184,0
HEAT,145,49,320,2184,0
HEAT,146,49,329,2808,0
HEAT,146,50,336,2808,0
HEAT,144,50,343,2184,0
HEAT,146,50,351,2184,0
HEAT,146,50,357,2808,0
HEAT,145,50,366,2184,0
HEAT,146,50,374,2184,0
HEAT,145,50,381,2184,0
HEAT,146,50,388,2184,0
HEAT,145,50,395,2184,0
HEAT,145,50,402,2808,0
HEAT,146,50,410,2184,0
HEAT,146,50,418,2184,0
HEAT,146,50,425,2184,0
HEAT,146,50,432,2184,0
HEAT,146,50,438,2184,0
HEAT,146,50,446,2808,0
HEAT,145,50,453,2808,0
HEAT,145,49,459,2808,0
HEAT,146,50,467,2808,0
HEAT,146,50,474,2808,0
HEAT,146,50,481,2808,0
HEAT,145,50,488,2808,0
HEAT,146,50,494,2184,0
HEAT,146,50,501,2184,0
HEAT,146,49,508,2184,0
HEAT,146,49,513,2184,0
HEAT,146,50,519,2184,0
HEAT,146,50,527,2184,0
HEAT,146,50,533,2184,0
HEAT,146,49,539,2184,0
HEAT,146,50,545,2808,0
HEAT,146,50,550,2808,0
HEAT,147,50,556,2808,0
HEAT,146,49,563,2808,0
HEAT,147,49,568,2184,0
HEAT,146,50,574,2184,0
HEAT,147,50,580,2184,0
HEAT,146,50,585,2184,0
HEAT,147,50,590,2184,0
HEAT,147,50,595,2184,0
HEAT,147,50,601,2808,0
HEAT,148,50,606,2808,0
HEAT,147,49,612,2808,0
HEAT,148,50,616,2808,0
HEAT,147,50,622,2184,0
HEAT,148,50,628,2184,0
HEAT,148,50,633,2184,0
HEAT,148,50,637,2184,0
HEAT,148,50,642,2808,0
HEAT,148,50,647,2808,0
HEAT,148,49,652,2808,0
HEAT,147,49,657,2808,0
HEAT,147,50,661,2184,0
HEAT,149,50,666,2184,0
HEAT,146,49,669,2184,0
HEAT,148,49,674,2808,0
HEAT,147,49,678,2808,0
HEAT,148,49,683,2808,0
HEAT,149,49,687,2808,0
HEAT,148,49,690,2184,0
HEAT,149,49,695,2184,0
HEAT,149,50,698,2184,0
HEAT,148,50,702,2808,0
HEAT,148,49,707,2808,0
HEAT,149,50,711,2808,0
HEAT,149,50,715,2184,0
HEAT,148,50,718,2184,0
HEAT,149,50,722,2808,0
HEAT,149,50,725,2808,0
HEAT,149,49,728,2184,0
HEAT,148,49,733,2184,0
HEAT,149,50,736,2808,0
HEAT,149,49,739,2808,0
HEAT,149,49,743,2184,0
HEAT,149,50,746,2184,0
HEAT,149,50,750,2184,0
HEAT,148,50,753,2808,0
START,149,45,756,3432,0
START,149,48,760,7176,0
START,149,52,763,9048,0
START,149,49,765,10608,0
START,149,48,769,12480,0
START,149,51,772,13416,0
START,149,50,774,14976,0
START,149,51,780,15600,0
START,149,50,785,16224,0
START,149,50,792,16536,0
START,149,49,798,17784,0
START,150,48,806,20592,0
START,148,49,815,23400,0
START,149,52,825,23712,0
START,149,52,837,24336,0
START,149,52,850,25272,0
START,149,52,864,26520,0
START,149,52,880,28704,0
RUN,148,51,897,30264,0
RUN,149,51,915,31512,0
RUN,148,51,934,33384,0
RUN,149,51,951,34632,0
RUN,149,51,968,35568,0
RUN,149,51,984,35880,0
RUN,148,50,996,36504,0
RUN,149,51,1009,36192,0
RUN,149,50,1018,36192,0
RUN,148,51,1027,37128,0
RUN,149,51,1033,36504,0
RUN,149,50,1036,36192,0
RUN,150,50,1039,36816,0
RUN,149,50,1040,36504,0
RUN,149,50,1039,36816,0
RUN,149,50,1038,36192,0
RUN,149,50,1037,36504,0
RUN,148,49,1034,35880,0
RUN,149,50,1031,36192,0
RUN,149,49,1027,35880,0
RUN,148,49,1022,36192,0
RUN,149,49,1017,35880,0
RUN,149,49,1014,35256,0
RUN,149,49,1008,35880,0
RUN,149,49,1004,35568,0
RUN,149,49,998,35568,0
RUN,149,50,992,35256,0
RUN,149,49,987,35256,0
RUN,149,50,983,35256,0
RUN,148,50,977,35256,0
RUN,148,49,972,34320,0
RUN,148,50,968,34632,0
RUN,148,50,963,34632,0
