state, ot, op, egt, rpm, thr
PASS,93,49,72,0,0
,,,,,
HEAT,93,49,72,0,0
HEAT,93,49,72,0,0
HEAT,93,49,72,0,0
HEAT,92,49,72,0,0
HEAT,93,49,72,0,0
HEAT,92,49,72,0,0
HEAT,92,49,72,312,0
HEAT,93,49,72,1560,0
HEAT,93,50,72,1560,0
HEAT,92,50,72,1560,0
HEAT,93,50,72,1560,0
HEAT,92,50,72,1560,0
HEAT,93,49,73,1560,0
HEAT,94,49,72,1560,0
HEAT,93,50,72,2184,0
HEAT,93,50,72,1560,0
HEAT,94,50,73,2184,0
HEAT,94,49,72,1560,0
HEAT,93,49,72,1560,0
HEAT,94,47,72,1560,0
HEAT,94,51,72,2184,0
HEAT,94,50,73,2184,0
HEAT,94,51,73,2184,0
HEAT,94,50,74,1560,0
HEAT,94,50,75,1560,0
HEAT,94,50,77,2184,0
HEAT,94,50,79,1560,0
HEAT,94,50,82,1560,0
HEAT,94,50,85,1560,0
HEAT,94,50,90,1560,0
HEAT,94,50,93,2184,0
HEAT,94,50,99,1560,0
HEAT,94,50,103,2184,0
HEAT,94,50,110,2184,0
HEAT,95,48,115,2184,0
HEAT,95,50,122,1560,0
HEAT,95,50,129,2184,0
HEAT,94,49,135,1560,0
HEAT,95,49,143,1560,0
HEAT,95,49,150,2184,0
HEAT,95,50,158,2184,0
HEAT,95,50,167,1560,0
HEAT,95,50,173,2184,0
HEAT,95,49,183,1560,0
HEAT,95,50,191,2184,0
HEAT,95,50,199,1560,0
HEAT,95,49,207,1560,0
HEAT,96,50,216,2184,0
HEAT,95,50,225,1560,0
HEAT,96,49,235,2184,0
HEAT,95,50,243,1560,0
HEAT,96,50,252,2184,0
HEAT,95,49,261,2184,0
HEAT,96,49,270,1560,0
HEAT,96,49,279,2184,0
HEAT,96,50,288,1560,0
HEAT,96,50,297,2184,0
HEAT,96,47,306,2184,0
HEAT,97,50,315,2184,0
HEAT,96,51,322,1560,0
HEAT,96,51,331,2184,0
HEAT,97,51,339,1560,0
HEAT,96,51,347,2184,0
HEAT,96,51,356,2184,0
HEAT,97,51,364,1560,0
HEAT,97,51,373,1560,0
