state, ot, op, egt, rpm, thr
PASS,160,52,290,0,0
,,,,,
HEAT,159,52,294,0,0
HEAT,159,51,294,0,0
HEAT,158,52,295,0,0
HEAT,159,52,294,0,0
HEAT,159,52,294,0,0
HEAT,159,52,295,0,0
HEAT,159,53,296,0,0
HEAT,160,51,296,1560,0
HEAT,159,52,296,2184,0
HEAT,160,51,297,2184,0
HEAT,159,52,297,2184,0
HEAT,159,51,297,2184,0
HEAT,159,51,296,2808,0
HEAT,160,52,297,2808,0
HEAT,159,52,297,2808,0
HEAT,159,52,297,2808,0
HEAT,159,52,297,2184,0
HEAT,159,52,298,2808,0
HEAT,160,51,298,2184,0
HEAT,159,52,297,2184,0
HEAT,159,52,298,2808,0
HEAT,160,52,297,2808,0
HEAT,159,51,299,2184,0
HEAT,159,51,300,2184,0
HEAT,159,51,302,2808,0
HEAT,159,52,304,2808,0
HEAT,159,52,307,2184,0
HEAT,159,51,310,2808,0
HEAT,159,52,313,2184,0
HEAT,159,52,316,2808,0
HEAT,159,52,322,2184,0
HEAT,160,52,326,2808,0
HEAT,159,52,331,2184,0
HEAT,159,51,336,2808,0
HEAT,159,52,342,2808,0
HEAT,159,52,347,2808,0
HEAT,159,52,353,2184,0
HEAT,159,52,359,2808,0
HEAT,159,52,364,2808,0
HEAT,158,52,372,2184,0
HEAT,159,52,377,2808,0
HEAT,158,52,384,2184,0
HEAT,159,52,392,2808,0
HEAT,159,51,398,2184,0
HEAT,159,51,405,2808,0
HEAT,158,52,412,2808,0
HEAT,159,52,419,2184,0
HEAT,158,52,426,2184,0
HEAT,159,52,433,2808,0
HEAT,159,51,439,2808,0
HEAT,159,52,446,2184,0
HEAT,159,51,454,2808,0
HEAT,159,52,460,2184,0
HEAT,159,52,468,2184,0
HEAT,159,52,475,2808,0
HEAT,159,51,482,2808,0
HEAT,159,51,489,2184,0
HEAT,158,52,495,2808,0
HEAT,159,51,502,2184,0
HEAT,159,51,509,2184,0
HEAT,158,52,515,2184,0
HEAT,159,51,522,2808,0
HEAT,158,52,528,2184,0
HEAT,159,51,535,2808,0
HEAT,159,51,542,2808,0
HEAT,159,51,547,2184,0
HEAT,159,52,554,2184,0
HEAT,159,51,560,2808,0
HEAT,159,51,567,2184,0
HEAT,158,52,573,2184,0
HEAT,159,52,579,2808,0
HEAT,159,52,585,2184,0
HEAT,159,52,591,2184,0
HEAT,159,52,598,2808,0
HEAT,158,51,604,2808,0
HEAT,159,51,610,2184,0
HEAT,159,52,616,2808,0
HEAT,158,52,622,2184,0
HEAT,159,51,627,2808,0
HEAT,159,51,635,2184,0
HEAT,159,51,640,2808,0
HEAT,159,52,647,2184,0
HEAT,159,52,652,2808,0
HEAT,159,51,658,2184,0
HEAT,159,52,665,2808,0
HEAT,160,52,669,2184,0
HEAT,159,52,676,2808,0
HEAT,159,52,681,2184,0
HEAT,158,52,688,2808,0
HEAT,159,51,692,2808,0
HEAT,159,52,698,2808,0
HEAT,158,52,704,2184,0
HEAT,159,52,709,2808,0
HEAT,159,52,714,2184,0
HEAT,159,52,720,2184,0
HEAT,160,51,725,2808,0
HEAT,159,52,730,2808,0
HEAT,159,52,735,2184,0
HEAT,159,51,741,2808,0
HEAT,159,52,746,2184,0
HEAT,160,52,750,2184,0
HEAT,159,52,755,2808,0
START,160,46,760,2808,0
START,159,50,765,7176,0
START,159,51,770,8736,0
START,159,51,775,11232,0
START,159,51,782,12168,0
START,159,50,791,14352,0
START,159,52,802,14976,0
START,159,51,815,16224,0
START,159,52,830,15912,0
START,159,53,847,16536,0
START,159,50,866,18720,0
START,159,49,886,20592,0
START,160,51,907,22152,0
START,159,53,927,23088,0
START,160,52,951,24336,0
START,159,52,974,25272,0
START,159,52,999,27768,0
START,160,52,1025,29328,0
RUN,159,52,1053,31200,0
RUN,159,52,1080,33384,0
RUN,160,52,1106,35256,0
RUN,160,52,1131,36816,0
RUN,160,51,1154,38376,0
RUN,159,51,1173,38376,0
RUN,159,51,1189,38376,0
RUN,160,51,1203,39000,0
RUN,159,51,1214,38688,0
RUN,159,51,1220,38376,0
RUN,160,51,1225,38376,0
RUN,160,51,1227,38376,0
RUN,160,51,1227,38064,0
RUN,158,51,1225,38064,0
RUN,160,51,1222,37440,0
RUN,160,51,1217,36816,0
RUN,159,51,1212,36816,0
RUN,159,50,1207,36504,0
RUN,160,51,1200,36504,0
RUN,160,51,1193,36192,0
RUN,160,51,1186,36504,0
RUN,160,51,1179,36504,0
RUN,160,51,1171,36192,0
RUN,160,50,1164,36192,0
RUN,160,51,1156,35880,0
RUN,160,50,1149,35880,0
RUN,160,51,1141,35568,0
RUN,160,51,1134,34944,0
RUN,160,51,1127,35256,18
RUN,159,50,1120,34944,14
RUN,159,51,1113,34944,0
RUN,159,51,1106,34944,0
RUN,160,50,1100,35256,0
RUN,160,50,1094,34944,0
RUN,160,50,1087,34632,0
